X,Y,objectid,osm_id,fclass,name,subdistrict,district,state,country
77.7321805,12.9872347,132,6343284080,Fire Station,Whitefield Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
79.7027245,11.3939609,133,6032167264,Fire Station,Fire Station Chidambaram,Chidambaram,Cuddalore,Tamil Nadu,India
79.8001124,11.9519146,134,6485835443,Fire Station,Fire Control Room,Ozhukarai Taluk,Pondicherry,Puducherry,India
80.1720211,12.9885115,135,6299267085,Fire Station, ,Alandur,Chengalpattu,Tamil Nadu,India
77.4582404,15.7557514,136,6369635014,Fire Station,"Fire Station, Yemmiganur",Yemmiganur,Kurnool,Andhra Pradesh,India
81.7330233,17.0162993,137,6364028885,Fire Station, ,Kovvur,West Godavari,Andhra Pradesh,India
76.6881238,12.4172969,138,6630947655,Fire Station, ,Shrirangapattana,Mandya,Karnataka,India
74.5079663,15.8427962,139,6845945393,Fire Station,Belgaum Fire Station,Belagavi,Belagavi,Karnataka,India
78.2869976,16.5007831,140,6837577307,Fire Station,"Fire Station, Nagarkurnool",Nagarkurnool,Nagarkurnool,Telangana,India
78.5019537,17.3685187,141,6652622187,Fire Station,Malakpet Fire Station,Amberpet,Hyderabad,Telangana,India
79.534375,17.913565,142,6837577306,Fire Station,"Mulkalagudem, 33/11 KV Sub Station",Hanamkonda,Warangal Urban,Telangana,India
77.6788101,13.0035629,143,6991535449,Fire Station,ITI Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
76.9044895,8.7044955,144,7130230413,Fire Station,Fire and Rescue Station Keezhayikonam,Nedumangad,Thiruvananthapuram,Kerala,India
77.5485018,12.9806661,145,7139631441,Fire Station,Rajajinagar Fire Station,Bengaluru Urban,Bengaluru Urban,Karnataka,India
75.6822742,11.684318,146,7388516548,Fire Station,"Fire and Rescue Station, Chelakadu",Vatakara,Kozhikode,Kerala,India
75.6936132,11.4437142,147,7456302701,Fire Station,Fire and Rescue Station Koyilandy,Koyilandi,Kozhikode,Kerala,India
76.6959388,8.9735229,148,7441591079,Fire Station,Fire and Rescue Station Kundra,Kollam,Kollam,Kerala,India
76.412518,9.7496816,149,7517648167,Fire Station,Fire and Rescue Station Vaikom,Vaikom,Kottayam,Kerala,India
76.2848087,9.969158,150,7463868461,Fire Station,Fire And Rescue Station,Kanayannur,Ernakulam,Kerala,India
76.7933972,9.264885499,151,7453415391,Fire Station,Fire and Rescue Station Pathanamthitta,Kozhenchery,Pathanamthitta,Kerala,India
79.5237309,10.7187756,152,7348066258,Fire Station,Koothanallur Fire  Station,Needamangalam,Thiruvarur,Tamil Nadu,India
